Microsoft Windows [Versione 10.0.17134.345]
(c) 2018 Microsoft Corporation. Tutti i diritti sono riservati.

C:\Users\Andi>CD c:\Users\Andi\Documents\iperf-3.1.3-win64

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
- - - - - - - - - - - - - - - - - - - - - - - - -
[ ID] Interval           Transfer     Bandwidth       Jitter    Lost/Total Datagrams
iperf3: interrupt - the client has terminated

c:\Users\Andi\Documents\iperf-3.1.3-win64>iperf3.exe -c 192.168.2.140 -u -b 150M --get-server-output -t 180 -f M
Connecting to host 192.168.2.140, port 5201
[  4] local 192.168.2.236 port 55020 connected to 192.168.2.140 port 5201
[ ID] Interval           Transfer     Bandwidth       Total Datagrams
[  4]  87.00-88.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  88.00-89.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  89.00-90.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  90.00-91.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  91.00-92.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  92.00-93.00  sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4]  93.00-94.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  94.00-95.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  95.00-96.00  sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4]  96.00-97.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  97.00-98.00  sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4]  98.00-99.00  sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4]  99.00-100.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 100.00-101.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 101.00-102.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 102.00-103.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 103.00-104.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 104.00-105.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 105.00-106.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 106.00-107.00 sec  11.3 MBytes  11.3 MBytes/sec  1450
[  4] 107.00-108.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 108.00-109.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 109.00-110.00 sec  11.2 MBytes  11.2 MBytes/sec  1440
[  4] 110.00-111.00 sec  11.4 MBytes  11.4 MBytes/sec  1461
[  4] 111.00-112.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
[  4] 112.00-113.00 sec  11.4 MBytes  11.4 MBytes/sec  1463
[  4] 113.00-114.00 sec  11.4 MBytes  11.4 MBytes/sec  1462
